threshold,precision,recall,f1,fraud_capture_rate,false_positive_rate,flagged_rate,true_positives,false_positives,false_negatives,true_negatives,legitimate_volume_flagged,fraud_volume_captured,total_flagged_volume,threshold_percent,precision_percent,recall_percent,fpr_percent
0.1,0.6475336322869956,0.9025,0.7540469973890339,0.9025,0.02046875,0.05575,722,393,78,18807,2897986.25,6171037.82,9069024.07,10.0,64.75336322869956,90.25,2.046875
0.15,0.7261538461538461,0.885,0.7977464788732395,0.885,0.01390625,0.04875,708,267,92,18933,2002076.71,6088826.43,8090903.140000001,15.0,72.61538461538461,88.5,1.390625
0.2,0.7730812013348165,0.86875,0.8181283107710418,0.86875,0.010625,0.04495,695,204,105,18996,1607985.0999999999,5999450.22,7607435.32,20.0,77.30812013348165,86.875,1.0625
0.25,0.79976717112922,0.85875,0.8282097649186256,0.85875,0.008958333333333334,0.04295,687,172,113,19028,1342568.27,5955187.7,7297755.970000001,25.0,79.976717112922,85.875,0.8958333333333334
0.3,0.8201970443349754,0.8325,0.826302729528536,0.8325,0.007604166666666667,0.0406,666,146,134,19054,1173567.87,5802148.9799999995,6975716.85,30.0,82.01970443349754,83.25,0.7604166666666667
0.35,0.8406169665809768,0.8175,0.8288973384030418,0.8175,0.006458333333333333,0.0389,654,124,146,19076,1016048.59,5676101.83,6692150.42,35.0,84.06169665809769,81.75,0.6458333333333334
0.5,0.8839541547277937,0.77125,0.8237650200267023,0.77125,0.00421875,0.0349,617,81,183,19119,718516.0199999999,5428089.09,6146605.109999999,50.0,88.39541547277938,77.125,0.421875
