probability_bucket,transaction_count,fraud_count,mean_predicted_probability,observed_fraud_rate,calibration_gap,brier_score,weighted_calibration_error
0-5%,18538,51,0.0035184238956007547,0.0027511058366598336,0.0007673180589409211,0.010192997759128403,0.0017551871534684331
5-10%,347,27,0.07065356031072219,0.07780979827089338,0.007156237960171188,0.010192997759128403,0.0017551871534684331
10-15%,140,14,0.12094927482849822,0.1,0.02094927482849822,0.010192997759128403,0.0017551871534684331
15-20%,76,13,0.17112648757659926,0.17105263157894737,7.385599765188933e-05,0.010192997759128403,0.0017551871534684331
20-25%,40,8,0.22409584620428694,0.2,0.024095846204286925,0.010192997759128403,0.0017551871534684331
25-35%,81,33,0.29543146983395846,0.4074074074074074,0.11197593757344892,0.010192997759128403,0.0017551871534684331
35-50%,80,37,0.41796633405715317,0.4625,0.044533665942846856,0.010192997759128403,0.0017551871534684331
50-75%,117,72,0.6206455261195906,0.6153846153846154,0.005260910734975144,0.010192997759128403,0.0017551871534684331
75-100%,581,545,0.935894371487624,0.9380378657487092,0.002143494261085177,0.010192997759128403,0.0017551871534684331
